"","labsampnum","pedon_key","site_key","latitude","longitude","hzn_desgn","hzn_top","hzn_bot","horizon_ap","land_cover_simple","clay_total","claysilt","ph_h2o","al_fe","ca_mg","MCI","ET","prcp_mean","temp_mean","NPP","AI","AI_factor","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","fraction_quant_method","WS_mgpg_OC","POM_mgpg_OC","MAOM_mgpg_OC","fMAOM"
"882","10N02034",40498,39846,42.46,-76.94,"Ap",0,28,"1","cropland",19.3,68,6.9,0.375,12.42,-0.339067169235943,1032,1047.57250010967,7.7009591,0.658481818181818,0.8306,"Humid",36.1283835037207,"low","MIR prediction",23.7898836575,7.974296815,15.8155868425,0.664803034356748
"883","16N00598",74340,134936,39.04,-95.2,"Ap",0,10,"1","cropland",29.1,83.3,5.8,0.39,18.97,0.00740315597224154,1453,1259.2900008969,12.5927178,0.457133333333333,0.6844,"Humid",36.7067595358757,"low","MIR prediction",16.7798833425,5.14357447,11.6363088725,0.693467805168086
"884","12N01416",59525,58724,44.41,-122.18,"A1",10,25,"0","forest",5.2,44,5.4,2.895,1.03,3.96358483673029,1180,3212.52750183642,5.540967175,0.831490909090909,1.754,"Humid",61.0613377878182,"high","MIR prediction",50.7719472675,12.9105572625,37.861390005,0.745714750815471
"885","05N03881",31938,31819,46.24,-119.47,"A",0,8,"0","other",4.9,55.9,7.8,0.43,23.21,0.290038316025427,1571,336.874999558553,11.3659124,0.458672727272727,0.1253,"Arid",15.0551654521941,"low","MIR prediction",6.9053937975,1.6263984675,5.27899533,0.764474190003644
"886","17N03144",74058,134703,46.42,-118.22,"A1",0,16,"0","cropland",10.6,80.2,7.1,0.19,16.45,-0.500085874391199,1415,771.994997128844,9.76299165,0.296363636363636,0.3059,"Arid",69.9088159961656,"high","MIR prediction",20.7184309225,5.084416085,15.6340148375,0.754594539324965
"887","18N01993",74089,134734,28.07,-81.38,"A",0,18,"0","forest",1.4,3.6,3.8,0.015,1.77,-1.54898044911411,1785,1645.39999723434,22.2285205,0.721513636363636,0.6827,"Humid",17.5979043535371,"low","MIR prediction",12.6971279625,3.087995815,9.6091321475,0.756795723873922
"888","10N02123",43903,43189,42.72,-110.24,"A",0,9,"0","grassland",20.7,51.2,6.9,0.18,15.99,-0.541654082930111,1246,628.259999517351,1.06195365,0.157509090909091,0.239,"Arid",138.380731830775,"high","MIR prediction",21.79622327,4.8071207425,16.9891025275,0.779451665412308
"889","12N01261",59408,58607,42.01,-112.14,"A1",0,8,"0","grassland",14.4,47.9,5.9,0.145,14.26,-0.692960929111181,1456,1068.36999840755,5.40237,0.317190909090909,0.3111,"Arid",70.960298852856,"high","MIR prediction",22.5079617025,9.5917549975,12.916206705,0.573850572331717
"890","09N04137",40638,39939,37.19,-112.19,"A1",0,22,"0","grassland",4.2,5.3,7.8,0.025,4.82,-1.38183789721077,1842,563.399999383837,9.51874545,0.204627272727273,0.1894,"Arid",10.7345239021614,"low","MIR prediction",2.196576350125,0.040319712625,2.1562566375,0.981644292663578
"891","16N07396",73601,134328,47.27,-116.17,"A",0,12,"0","forest",5.4,39.2,5.9,0.265,10.05,-0.665894689553825,1159,1324.16000111401,7.9248415,0.563109090909091,0.7575,"Humid",50.4420717469568,"high","MIR prediction",28.404389165,10.8378136725,17.5665754925,0.618445810978594
