"","site_key","pedon_key","latidude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_bot","aridity_index_v3","land_cover_simple","MCI","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor","fraction_quant_method"
"2752",135059,74463,38.87,-76.56,2.735826495,12.562016435,15.29784293,9.9,35.2,4,0.25,1.21,1343,1377.57500044955,13.2979538,0.7629,"1",21,0.8204,"cropland",-1.11872294758004,0.821162597398952,20.0522256259012,"low","Sub-humid","MIR prediction"
"2753",135212,74616,35.91,-84.26,1.247308895,8.051890145,9.29919904,25.6,70.8,4.7,0.195,0.59,1291,1686.77499580383,13.9965095,0.750371428571429,"0",20,0.9453,"forest",-1.23673284936927,0.865869212000435,12.3927946693066,"low","Humid","MIR prediction"
"2754",43073,43787,44.3,-118.11,2.5779177875,28.8392308175,31.417148605,20.6,63.6,6.8,0.435,36.18,1292,946.132497981191,4.2456878,0.419009523809524,"0",35,0.2948,"grassland",0.816953262757797,0.917945520138969,74.9795573125966,"high","Arid","MIR prediction"
"2755",135171,74575,42.46,-72.25,16.095614335,41.19479607,57.290410405,5.8,33.7,4.1,0.435,0.3,1023,1482.00499698147,7.92072335,0.692571428571429,"0",12,1.0697,"forest",-0.861943874545781,0.71905220749483,82.721302152434,"high","Humid","MIR prediction"
"2756",135294,74698,39.05,-78.07,1.859238435,7.707884665,9.5671231,16.8,79,5.7,0.11,5.92,1255,1201.52500028163,11.95897,0.626671428571429,"0",20,0.7894,"cropland",-1.12487515378823,0.805663790925822,15.2665697905031,"low","Sub-humid","MIR prediction"
"2757",56430,57231,46.56,-67.88,0.54384877485,13.185486785,13.72933555985,16.7,62.3,5.3,0.735,4.93,870,1430.57750372589,4.27343855,0.557733333333333,"1",33,1.1257,"cropland",-0.159848571345619,0.960387829951478,24.6163080800562,"low","Humid","MIR prediction"
"2758",43145,43859,46.8,-69.52,4.935521535,9.3701538525,14.3056753875,11.1,53.7,4,0.265,0.65,839,1346.3225012417,3.480937,0.653442857142857,"0",13,1.2254,"forest",-1.12065405433129,0.654995559362926,21.8927718485604,"low","Humid","MIR prediction"
"2759",135198,74602,40.15,-112.53,9.746217015,21.842402445,31.58861946,26.6,75.2,7.9,0.125,59.19,1738,678.079999536276,8.35395335,0.196419047619048,"0",28,0.1771,"grassland",1.39200736546531,0.691464293735868,160.822587436967,"high","Arid","MIR prediction"
"2760",135339,74743,31.18,-84.47,0.3710296118,5.4865356825,5.8575652943,10.3,28.4,4.7,0.075,0.02,1634,1729.12000113446,19.1060715,0.746733333333333,"0",13,0.8294,"forest",-1.45758362031424,0.93665804935012,7.8442531394072,"low","Sub-humid","MIR prediction"
"2761",33822,34019,40.34,-123.89,1.750210355,6.0036575475,7.7538679025,10.9,31.9,6.2,0.205,6.09,1286,2209.05499973753,13.02888225,0.903595238095238,"1",20,1.1199,"cropland",-0.963195211513276,0.774279059559978,8.58112966469922,"low","Humid","MIR prediction"
"2762",135359,74763,40.16,-105.53,2.400652895,2.7712691775,5.1719220725,9.1,43.8,5.2,0.12,3.45,1329,1097.71249836683,1.73866,0.627090476190476,"0",18,0.3902,"forest",-1.22426979531655,0.535829646822274,8.24748942755279,"low","Arid","MIR prediction"
