"","pedon_key","c_stock_topsoil","NPP_MODIS_mean_2001_2022_kgC_m2","aridity_index_v3","horizon_ap","land_cover_simple","SOC_NPP_Ratio"
"173",14722,7.2648,0.556590476190476,2.3695,"1","cropland",13.0523253824304
"174",14723,5.00124,NA,2.4373,"0","forest",NA
"175",14724,5.02776,0.777195238095238,1.1847,"1","cropland",6.46910808707746
"176",14725,3.74805,0.640428571428571,1.1175,"1","cropland",5.8524091010484
"177",14727,4.653,NA,1.361,"1","cropland",NA
"178",14728,2.99507,0.683,1.8051,"1","cropland",4.38516837481698
"179",14729,6.3728,0.576271428571429,1.9028,"1","cropland",11.0586777064379
"180",14730,8.20876,0.95172380952381,1.8339,"1","cropland",8.62514935305361
"181",14731,5.3944,0.749395238095238,1.3116,"1","cropland",7.19833770723059
"182",14732,6.21514,0.624819047619048,1.5454,"1","cropland",9.94710392342164
"183",14867,37.02446,1.60030952380952,1.3329,"0","forest",23.1358118221177
"184",14873,8.1389,NA,0.8849,"0","other",NA
"185",14988,1.9008,0.629209523809524,0.8331,"1","cropland",3.02093329498842
"186",15018,2.538,0.661680952380952,0.7652,"1","cropland",3.83568544759739
"187",15021,1.5252,0.663019047619048,0.7554,"1","cropland",2.30038639987359
"188",15051,3.3851,1.36548571428571,2.1618,"1","cropland",2.47904460997657
"189",15052,4.47906,1.36548571428571,2.1618,"1","cropland",3.28019543019752
"190",15053,4.131,0.853038095238095,1.6337,"0","forest",4.84269110964731
"191",15054,2.4749,0.853038095238095,1.6337,"0","forest",2.90127722761223
"192",15055,6.45376,0.853038095238095,1.6337,"0","forest",7.56561756857842
"193",15232,4.7691,0.27662380952381,0.3191,"0","grassland",17.2403814704515
"194",15233,4.66308,0.27662380952381,0.3191,"0","grassland",16.8571172815066
"195",15234,6.67271,0.27662380952381,0.3191,"0","grassland",24.1219655368301
"196",15235,4.26984,0.27662380952381,0.3191,"0","grassland",15.4355476751993
"197",15236,7.32274,0.27662380952381,0.3191,"0","grassland",26.4718355683324
"198",15237,6.16541,0.27662380952381,0.3191,"0","grassland",22.2880669983302
"199",15238,3.90721,0.27662380952381,0.3191,"0","grassland",14.1246337642664
"200",15239,7.61058,0.27662380952381,0.3191,"0","grassland",27.5123822967413
"201",15242,2.0314,0.264066666666667,0.3003,"0","grassland",7.69275435496087
"202",15355,11.17077,0.253395238095238,0.2966,"0","grassland",44.0843722398662
"203",15357,22.45076,0.2015,0.2294,"0","grassland",111.418163771712
"204",15453,10.8025,0.886390476190476,1.2788,"0","forest",12.1870668629326
"205",15547,2.35583,0.4407,0.2243,"1","cropland",5.34565464034491
"206",15548,5.88159,0.40402380952381,0.2258,"1","cropland",14.5575331486829
"207",15549,4.8104,0.207919047619048,0.2323,"1","cropland",23.1359274442892
"208",15550,4.1196,0.448785714285714,0.2269,"1","cropland",9.17943657488461
"209",15551,6.88938,0.0910238095238095,0.2328,"1","cropland",75.687669369605
"210",15552,4.776,0.473266666666667,0.3201,"1","cropland",10.091562191858
"211",15553,4.56924,0.497809523809524,0.3185,"1","cropland",9.17869140998661
"212",15556,5.49576,0.448452380952381,0.2733,"1","cropland",12.2549466418901
"213",15677,4.37496,0.435533333333333,0.2328,"0","cropland",10.0450635236492
"214",16134,1.0925,NA,0.8784,"0","other",NA
"215",16190,3.72588,0.425828571428572,0.3707,"1","cropland",8.74971819645732
"216",16191,1.5345,0.308157142857143,0.3391,"0","grassland",4.97960224375319
"217",16193,1.6728,0.448038095238095,0.3658,"1","cropland",3.73361108749256
"218",16194,6.37092,0.274119047619048,0.3166,"1","cropland",23.2414348996786
"219",16472,6.2136,0.479285714285714,0.5226,"1","cropland",12.9642921013413
