"","site_key","pedon_key","latitude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_top","hzn_bot","hzn_desgn","aridity_index_v3","land_cover_simple","labsampnum","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor_5_8","aridity_index_factor_5_10","MCI","aridity_index_factor","fraction_quant_method"
"371",18660,18660,42.56,-74.92,10.7156092792065,43.2739941113978,66.8563156966465,53.9896033906043,15.7,76.4,4.2,0.856099870903675,5.92,987,1353.73999975622,6.25966053,0.693477272727273,"0",0,12,"A",1.0575,"forest","92P00245",0.801524578691917,77.8534575160289,"high","wet_8","wet_10",0.170962796655658,"Humid","direct measurement"
"372",18703,18703,47.14,-118.91,3.38532288001773,4.52764911211458,10.9558377126277,7.91297199213231,6.4,56.9,7.2,0.510138463029709,12.02,1433,367.649999350309,9.51685785,0.345286363636364,"0",0,10,"A1",0.1604,"cropland","92P00573",0.572180606302704,22.9171285792966,"low","dry_5","dry_5",-0.131256041203778,"Arid","direct measurement"
"373",18737,18737,41.87,-112.03,1.29848042719766,6.1370943231377,8.22378794931113,7.43557475033536,24.4,75.7,8.2,0.117540616673385,54.76,1559,894.902500092983,7.686202425,0.363445454545455,"1",0,8,"Ap1",0.2815,"cropland","92P00802",0.825369191919012,20.4585713133617,"low","dry_5","dry_5",1.2516988011774,"Arid","direct measurement"
"374",18742,18742,45.67,-95.8,1.42143395675159,21.6698671991814,30.135920993678,23.091301155933,25.4,73.5,6.7,0.264261402853294,30.58,1091,844.322500623763,6.11947135,0.420486363636364,"1",0,17,"Ap1",0.5396,"cropland","92P00830",0.938442881708882,54.9156956155238,"high","mid_5_8","mid_5_10",0.339386553006588,"Sub-humid","direct measurement"
"375",18743,18743,45.49,-96.01,1.29696394604841,21.3323696343539,26.2276023205115,22.6293335804023,23.7,68.2,7.8,0.208269306701993,47.97,1110,809.674999663606,6.36053972,0.387704545454545,"1",0,15,"Ap1",0.5367,"cropland","92P00839",0.942686604471127,58.367470399068,"high","mid_5_8","mid_5_10",1.08085740799874,"Sub-humid","direct measurement"
"376",18778,18778,48.13,-103.73,0.875247514496633,9.01230590199463,13.498956048255,9.88755341649126,14.6,53.8,6,0.117030052580146,10.22,1342,413.749999396503,5.98736465,0.284131818181818,"1",0,20,"Ap",0.2689,"cropland","92P01035",0.911479869930531,34.7991769445692,"low","dry_5","dry_5",-0.895387387786443,"Arid","direct measurement"
"377",18808,18808,40.38,-103.12,11.1659899168423,13.2412209172633,34.3711794833224,24.4072108341056,16.8,50.1,6.8,0.0728765359053492,16.12,1744,540.452500388026,9.473348,0.251804545454545,"0",0,2,"A",0.2327,"grassland","92P01236",0.542512661822078,96.9291908136404,"high","dry_5","dry_5",-0.687174176309511,"Arid","direct measurement"
"378",18957,18957,33.29,-104.41,2.48280070029327,9.0372503361542,14.432350568494,11.5200510364475,16.1,53.5,7.6,0.0953942186010057,61.36,2356,450.154998376966,15.74726835,0.1648,"0",0,8,"A1",0.1442,"grassland","92P02051",0.784480060683923,69.9032223085404,"high","dry_5","dry_5",1.53156446536147,"Arid","direct measurement"
"379",18965,18965,40.38,-74.96,3.16619224095375,19.2887561164818,26.9343520516885,22.4549483574355,10.3,45.9,5.3,0.491691825215539,5.69,1223,1515.34500239417,11.588523,0.616159090909091,"1",0,15,"Ap",0.9602,"cropland","92P02094",0.858998017249711,36.4434262006995,"low","wet_8","mid_5_10",-0.468060572527723,"Humid","direct measurement"
"380",18970,18970,42.43,-100.81,0.666245070290247,17.8894045808571,32.7930164935515,18.5556496511474,11,24.1,6.3,0.0287460843403109,1.68,1491,732.640001878142,8.494605725,0.403931818181818,"0",0,10,"A",0.3447,"grassland","92P02124",0.964094759126418,45.9375786108414,"high","dry_5","dry_5",-1.45902535239641,"Arid","direct measurement"
"381",19167,19167,37.98,-97.6,1.52982850548848,6.1151584796765,8.87121096480963,7.64498698516499,8.7,56.4,7.2,0.0339741501946691,9.08,1696,926.397499818355,13.5412745,0.391447619047619,"1",0,12,"Ap1",0.4674,"cropland","92P03138",0.799891287132719,19.5300382814054,"low","dry_5","dry_5",-1.09343973013473,"Arid","direct measurement"
"382",19219,19219,32.98,-96.76,0.317672393023185,15.8335677719809,15.7345873834265,16.1512401650041,51.9,94.9,7.9,0.375953470417655,89.83,1839,1226.93750009686,18.0151645,0.314263636363636,"1",0,8,"Ap",0.5274,"cropland","92P03568",0.980331393145184,51.3939199326115,"high","mid_5_8","mid_5_10",3.38687516735033,"Sub-humid","direct measurement"
"383",19279,19279,32.76,-108.12,4.63191884656009,10.139123620428,16.2444019484877,14.7710424669881,22.1,43.2,7,0.120518440913605,19.51,2222,540.275001004338,12.44651235,0.22735,"0",0,5,"A",0.1763,"shrubland","92P03951",0.686418960820674,64.9704968858065,"high","dry_5","dry_5",-0.441727919699138,"Arid","direct measurement"
"384",19280,19280,32.75,-108.36,8.54487714701217,13.0629529810727,22.7910085070527,21.6078301280848,9.5,26.5,6.8,0.0509326595022958,39.4,2174,533.007501319051,12.5396249,0.235504545454545,"0",0,8,"A",0.1848,"shrubland","92P03955",0.604547189775158,91.7512232571975,"high","dry_5","dry_5",0.396783681348273,"Arid","direct measurement"
